sep=;
deprecated;type;StateType
internal;const;stateVersion
public;function;StatusBar
deprecated;function;StatusBar
public;namespace;StatusBar
deprecated;namespace;StatusBar
public;interface;StatusBarActionItem
public;function;StatusBarCenterSection
public;function;StatusBarComposer
public;interface;StatusBarComposerProps
deprecated;interface;StatusBarComposerProps
public;interface;StatusBarCustomItem
beta;function;StatusBarDialog
beta;namespace;StatusBarDialog
beta;interface;StatusBarDialogProps
public;type;StatusBarFieldId
deprecated;type;StatusBarFieldId
beta;function;StatusBarIndicator
deprecated;function;StatusBarIndicator
beta;interface;StatusBarIndicatorProps
deprecated;interface;StatusBarIndicatorProps
public;type;StatusBarItem
internal;interface;StatusBarItemProps
public;namespace;StatusBarItemUtilities
beta;function;StatusBarLabelIndicator
deprecated;function;StatusBarLabelIndicator
beta;interface;StatusBarLabelIndicatorProps
deprecated;interface;StatusBarLabelIndicatorProps
public;interface;StatusBarLabelItem
public;enum;StatusBarLabelSide
public;function;StatusBarLeftSection
public;function;StatusBarPopover
public;namespace;StatusBarPopover
public;interface;StatusBarProps
deprecated;interface;StatusBarProps
public;function;StatusBarRightSection
public;enum;StatusBarSection
public;function;StatusBarSeparator
public;function;StatusBarSpaceBetween
public;class;StatusBarWidgetComposerControl
deprecated;class;StatusBarWidgetComposerControl
public;class;StatusBarWidgetControl
deprecated;class;StatusBarWidgetControl
public;interface;SupportsViewSelectorChange
deprecated;interface;SupportsViewSelectorChange
public;class;SyncToolSettingsPropertiesEvent
deprecated;class;SyncToolSettingsPropertiesEvent
public;interface;SyncToolSettingsPropertiesEventArgs
deprecated;interface;SyncToolSettingsPropertiesEventArgs
public;class;SyncUiEventDispatcher
public;enum;SyncUiEventId
public;const;SYSTEM_PREFERRED_COLOR_THEME
public;type;ThemeId
public;function;ThemeManager
public;class;TileLoadingIndicator
public;class;ToolActivatedEvent
deprecated;class;ToolActivatedEvent
public;interface;ToolActivatedEventArgs
deprecated;interface;ToolActivatedEventArgs
public;class;ToolAssistanceChangedEvent
deprecated;class;ToolAssistanceChangedEvent
public;interface;ToolAssistanceChangedEventArgs
deprecated;interface;ToolAssistanceChangedEventArgs
public;class;ToolAssistanceField
public;interface;ToolAssistanceFieldProps
beta;function;Toolbar
public;const;TOOLBAR_OPACITY_DEFAULT
public;interface;ToolbarActionItem
public;class;ToolbarButtonHelper
public;function;ToolbarComposer
public;interface;ToolbarCustomItem
beta;const;ToolbarDragInteractionContext
public;interface;ToolbarGroupItem
public;class;ToolbarHelper
deprecated;class;ToolbarHelper
public;type;ToolbarItem
public;interface;ToolbarItemLayouts
beta;namespace;ToolbarItems
public;namespace;ToolbarItemUtilities
public;enum;ToolbarOrientation
beta;class;ToolbarPopup
beta;type;ToolbarPopupProps
public;interface;ToolbarProps
public;enum;ToolbarUsage
beta;function;ToolbarWithOverflow
beta;interface;ToolbarWithOverflowProps
public;class;ToolIconChangedEvent
deprecated;class;ToolIconChangedEvent
public;interface;ToolIconChangedEventArgs
deprecated;interface;ToolIconChangedEventArgs
public;class;ToolInformation
deprecated;class;ToolInformation
public;class;ToolItemDef
deprecated;class;ToolItemDef
public;interface;ToolItemProps
deprecated;interface;ToolItemProps
internal;function;ToolSettingsContent
internal;function;ToolSettingsDockedContent
public;interface;ToolSettingsEntry
public;function;ToolSettingsGridContainer
internal;function;ToolSettingsWidgetContent
public;class;ToolUiProvider
deprecated;class;ToolUiProvider
public;function;ToolWidgetComposer
public;interface;ToolWidgetComposerProps
deprecated;interface;ToolWidgetComposerProps
internal;function;toPanelSide
internal;interface;TrackingTime
public;function;UiDataProvidedDialog
deprecated;function;UiDataProvidedDialog
public;interface;UiDataProvidedDialogProps
deprecated;interface;UiDataProvidedDialogProps
public;class;UiFramework
public;class;UiItemsManager
public;interface;UiItemsProvider
public;type;UiItemsProviderOverrides
public;interface;UiItemsProviderRegisteredEventArgs
deprecated;interface;UiItemsProviderRegisteredEventArgs
beta;function;UiSettingsPage
deprecated;function;UiSettingsPage
public;interface;UiSettingsProviderProps
deprecated;interface;UiSettingsProviderProps
public;type;UiStateStorage
internal;const;UiStateStorageContext
public;function;UiStateStorageHandler
public;type;UiStateStorageResult
public;type;UiStateStorageStatus
public;const;UiStateStorageStatus
public;class;UiSyncEvent
deprecated;class;UiSyncEvent
public;interface;UiSyncEventArgs
deprecated;interface;UiSyncEventArgs
public;class;UiVisibilityChangedEvent
deprecated;class;UiVisibilityChangedEvent
public;interface;UiVisibilityEventArgs
deprecated;interface;UiVisibilityEventArgs
alpha;function;UnitSystemSelector
beta;interface;UnitSystemSelectorProps
public;function;useActiveFrontstageDef
public;const;useActiveFrontstageId
public;function;useActiveIModelConnection
internal;function;useActiveModalFrontstageInfo
public;function;useActiveStageId
public;function;useActiveViewport
public;function;useAnalysisAnimationDataProvider
internal;function;useAvailableUiItemsProviders
public;const;useBackstageManager
public;function;useConditionalValue
internal;const;useContentOverlayStore
internal;const;useDefaultBackstageItems
public;const;useDefaultStatusBarItems
deprecated;const;useDefaultStatusBarItems
public;const;useDefaultToolbarItems
deprecated;const;useDefaultToolbarItems
alpha;function;useFloatingViewport
deprecated;function;useFloatingViewport
internal;function;useFrontstageManager
internal;const;useGroupedItems
internal;function;useHorizontalToolSettingEntries
public;const;useIsBackstageOpen
internal;function;useItemsManager
internal;function;useLabels
internal;function;useLayoutStore
internal;function;useNineZoneDispatch
internal;function;usePreviewFeatures
public;interface;UserSettingsProvider
internal;function;useSavedFrontstageState
public;function;useScheduleAnimationDataProvider
beta;function;useSelectionSetSize
beta;interface;UseSelectionSetSizeArgs
internal;function;useShouldRenderDockedToolSettings
